Store_Name,lng,lat,Address,Address Line #2,City,State,Zip5,Zip4,County
"Raja and Ranas Indian Market",-71.202141,42.512676,"232 Cambridge St","","Burlington","MA","01803","2542","MIDDLESEX"
"Whole Foods Market 10506",-70.954124,42.172577,"35 Pleasant St","","South Weymouth","MA","02190","","NORFOLK"
"Community Involved in Sustaining Agriculture (CISA",-72.607407,42.476971,"1 Sugarloaf St","","South Deerfield","MA","01373","","FRANKLIN"
"Amigos Grocery Store",-71.082344,42.387138,"86 Broadway","","Somerville","MA","02145","3321","MIDDLESEX"
"The Herb Lyceum",-71.087334,42.36261,"355 Main St","","Cambridge","MA","02142","","MIDDLESEX"
"Morales Foods Inc.",-71.08345,42.387531,"104 Broadway","","Somerville","MA","02145","3295","MIDDLESEX"
"Just Roots",-72.615486,42.586636,"97 Shelburne Rd","","Greenfield","MA","01301","2107","FRANKLIN"
"America Eagle Market",-71.055801,42.406616,"427 Broadway","","Everett","MA","02149","3435","MIDDLESEX"
"Columbia Market",-71.097992,42.366917,"151 Columbia St","","Cambridge","MA","02139","2731","MIDDLESEX"
"Chestnut Market",-72.599762,42.115345,"526 Chestnut St","","Springfield","MA","01107","2042","HAMPDEN"
"Highland Convenience Mart",-70.97506,42.385788,"37A Crest Ave","","Winthrop","MA","02152","1010","SUFFOLK"
"CVS 4981",-71.304848,42.009617,"6 Taunton St","","Plainville","MA","02762","2135","NORFOLK"
"EZ Mart",-72.616646,42.036221,"1672 Main St","","Agawam","MA","01001","2577","HAMPDEN"
"Tedeschi Food Shops 359",-70.78315,42.219608,"337 Gannett Rd","","Scituate","MA","02066","1210","PLYMOUTH"
"Tedeschi Food Shops 360",-70.730507,41.999458,"78 Summer street","","Kingston","MA","02364","","PLYMOUTH"
"Juma Grocery II 02",-71.758926,42.523529,"65 Central St","","Leominster","MA","01453","5710","WORCESTER"
"Everest Market",-71.012466,42.262943,"121 Standish Ave","","Quincy","MA","02170","2611","NORFOLK"
"Godwin African Market & Tropical Food",-71.310112,42.645702,"134 Merrimack St","","Lowell","MA","01852","1718","MIDDLESEX"
"CVS 226",-71.056435,42.357517,"3 Post Office Sq","","Boston","MA","02109","","SUFFOLK"
"MD I Convenience Store",-71.166969,41.68726,"240 E Main St","","Fall River","MA","02724","3232","BRISTOL"
"Lio Meat Corp/America's Food Basket",-71.095192,42.268345,"926 Cummins Hwy","","Mattapan","MA","02126","2095","SUFFOLK"
"Truro Farmers' Market",-70.050804,41.994431,"20 Truro Center Road","Veterans' Memorial Park","Truro","MA","02666","","BARNSTABLE"
"BP Shop",-71.47641,42.074116,"1052 S Main St","","Bellingham","MA","02019","1702","NORFOLK"
"The Corner Store",-72.600075,42.148045,"444 Front St","","Chicopee","MA","01013","3107","HAMPDEN"
"Smart Save Variety Store",-70.853584,42.268539,"169 Nantasket Ave","Unit A","Hull","MA","02045","","PLYMOUTH"
"Sammy's Market & Deli",-71.099541,42.391483,"415 Medford St","","Somerville","MA","02145","2702","MIDDLESEX"
"Kristinas Variety",-71.209267,42.375721,"42 Warren St","","Waltham","MA","02453","6915","MIDDLESEX"
"Anthonys Market",-71.039185,42.38052,"407A Meridian St","","Boston","MA","02128","1315","SUFFOLK"
"Rita Super Market",-71.302757,42.634495,"515 Lawrence St","","Lowell","MA","01852","3516","MIDDLESEX"
"Granite Mart",-71.031738,42.245544,"308 Willard St","","Quincy","MA","02169","1501","NORFOLK"
"7 Eleven 33227H",-71.143066,41.763733,"1693 State Hwy Rte 6","","Somerset","MA","02726","8802","BRISTOL"
"Hollywood Market & Deli",-71.053665,42.35479,"137 Pearl St.","","Boston","MA","02110","","SUFFOLK"
"Bell Hill Deli",-71.789101,42.272411,"158 Belmont St","","Worcester","MA","01605","2834","WORCESTER"
"Walgreens 15184",-71.11837,42.388065,"822 Somerville Ave","","Cambridge","MA","02140","","MIDDLESEX"
"Tedeschi Food Shops 229",-71.021271,42.400673,"936 Broadway","","Chelsea","MA","02150","2213","SUFFOLK"
"Peguero's Market",-71.068184,42.305393,"218 Bowdoin St","","Dorchester","MA","02122","1842","SUFFOLK"
"Well Foods Plus",-71.09996,42.381294,"380 Somerville Ave","","Somerville","MA","02143","","MIDDLESEX"
"Richdale",-70.839455,42.678955,"44 Market St","","Ipswich","MA","01938","2233","ESSEX"
"Tedeschi Food Shops 434",-71.237808,42.282387,"168 Garden St","","Needham","MA","02492","2321","NORFOLK"
"Ruby Convenience",-71.189102,41.679646,"1737 Bay St","","Fall River","MA","02724","1138","BRISTOL"
"Whole Foods Market 10510",-71.061813,42.464516,"880 Main St","","Melrose","MA","02176","2346","MIDDLESEX"
"Billerica Farmers Market",-71.269417,42.557423,"25 Concord Rd","Senior center front lawn","Billerica","MA","01821","2517","MIDDLESEX"
"Grandpa Tom's Farm Stand",-70.819397,41.992275,"6 County Rd","","Plympton","MA","02367","1207","PLYMOUTH"
"Yadav Food Mart",-71.159164,41.686852,"127 Stafford Rd","","Fall River","MA","02721","2546","BRISTOL"
"1st Stop Convenience Store",-72.580292,42.092266,"445 Main St","","Springfield","MA","01105","2409","HAMPDEN"
"Whole Foods Market 10509",-71.066093,42.374722,"50 Austin St","","Charlestown","MA","02129","3507","SUFFOLK"
"Alexanders Pharmacy",-71.364868,42.679497,"505 Nashua Road","","Dracut","MA","01826","","MIDDLESEX"
"Aguasvivas Market Inc",-71.082886,42.280518,"926 Morton St","","Mattapan","MA","02126","2411","SUFFOLK"
"Merills Superatte",-72.581253,42.103432,"62 High St","","Springfield","MA","01105","1802","HAMPDEN"
"Baltic European Deli",-71.056877,42.328259,"632 Dorchester Ave","","Boston","MA","02127","3550","SUFFOLK"
"Talho Portugues (the Butcher Shop)",-70.932564,41.624073,"123 Dartmouth St","","New Bedford","MA","02740","3103","BRISTOL"
"Debra's Natural Gourmet",-71.39547,42.457253,"98 Commonwealth Ave","","Concord","MA","01742","2904","MIDDLESEX"
"Billys Market",-71.047737,42.414623,"326 Ferry St","","Everett","MA","02149","5602","MIDDLESEX"
"Roxbury Market",-71.096466,42.331738,"1433 Tremont St","","Roxbury Crossing","MA","02120","3403","SUFFOLK"
"Smith Corner Convenience",-72.635437,42.317451,"8 Green St","","Northampton","MA","01060","3708","HAMPSHIRE"
"Tedeschi Food Shops 449",-71.35997,42.169525,"128 Exchange St","","Millis","MA","02054","1212","NORFOLK"
"Bread and Butter",-71.198532,42.108105,"374a S Main St","","Sharon","MA","02067","1818","NORFOLK"
"Somerville Quick Stop",-71.10807,42.390266,"219 Highland Ave","","Somerville","MA","02143","1435","MIDDLESEX"
"Tedeschi Food Shops 263",-71.005516,42.449776,"386 Lincoln Ave","","Saugus","MA","01906","3974","ESSEX"
"Richdale Convenience Store",-70.997421,42.449745,"304 Lincoln Avenue","","Saugus","MA","01906","","ESSEX"
"Taunton's Farmers Market",-71.094696,41.908699,"76 Church St","","Taunton","MA","02780","2441","BRISTOL"
"Santiago Market And Flowers",-71.161255,42.707756,"293 Essex St","","Lawrence","MA","01840","1522","ESSEX"
"Sunset Variety Inc.",-71.182648,41.682949,"508 Bowen St","","Fall River","MA","02724","3705","BRISTOL"
"Tedeschi Food Shops 375",-70.846405,42.259098,"340 Rockland St","","Hingham","MA","02043","1471","PLYMOUTH"
"Bobby Fish",-71.065308,42.307938,"312 Bowdoin St","","Dorchester","MA","02122","1832","SUFFOLK"
"Quickstop",-72.586777,42.174809,"1177 Granby Rd","","Chicopee","MA","01020","1566","HAMPDEN"
"Grafton Hill Mini Mart",-71.769592,42.250381,"690 Grafton Street","","Worcester","MA","01604","","WORCESTER"
"Sky Beverage General Store",-71.147331,41.674549,"818 Jefferson St","","Fall River","MA","02721","4839","BRISTOL"
"Walden Spa And Market",-71.131676,42.385883,"272 Walden St","","Cambridge","MA","02138","6716","MIDDLESEX"
"Melos Bakery 2",-71.023773,42.431152,"810 Washignton Ave","Ste A","Revere","MA","02151","1950","SUFFOLK"
"Tremont Market Place And Deli",-71.076813,42.341152,"682 Tremont St","","Boston","MA","02118","3143","SUFFOLK"
"Express Mart",-70.494385,41.760014,"127 Route 6A","","Sandwich","MA","02563","2017","BARNSTABLE"
"Gardner Park Variety",-70.916855,42.5355,"44 Margin St","","Peabody","MA","01960","1931","ESSEX"
"Town Grocery",-71.204498,42.514797,"280 Cambridge St","","Burlington","MA","01803","2540","MIDDLESEX"
"Tedeschi Food Shops 483",-71.05368,42.408936,"511 Broadway","","Everett","MA","02149","3719","MIDDLESEX"
"Tedeschi Food Shops 497",-71.103264,42.06004,"11 Columbus Ave","","North Easton","MA","02356","1819","BRISTOL"
"Swaminu Corporation",-71.383484,42.584705,"273 Littleton Rd","","Chelmsford","MA","01824","3307","MIDDLESEX"
"Whole Foods Market 10452",-70.948692,42.462933,"100 Market St Dr","","Lynnfield","MA","01901","1125","ESSEX"
"Richdale Convenience Store",-70.954208,42.498539,"272 Lynn St","","Peabody","MA","01960","6517","ESSEX"
"Esthers Fashion Paradise NA",-71.816605,42.2533,"872A Main St","","Worcester","MA","01610","1455","WORCESTER"
"Walgreens 15335",-70.891258,42.576698,"48 Dodge St","","Beverly","MA","01915","1760","ESSEX"
"Sunny Farms Mini Market",-71.865692,42.110317,"233 Main St","","Oxford","MA","01540","2336","WORCESTER"
"The Border Market LLC",-71.178619,42.71769,"651 Broadway","","Lawrence","MA","01841","2402","ESSEX"
"Higuey Mini Market",-72.5672,42.100891,"298 Hancock St","","Springfield","MA","01105","1604","HAMPDEN"
"T.J. Convenience Store",-71.126045,42.350105,"182 Thorndike St","","Brookline","MA","02446","5844","NORFOLK"
"Marblehead Farmers' Market",-70.860825,42.497665,"217 Pleasant Street (behind Middle School)","","Marblehead","MA","01945","","ESSEX"
"Asia Minimart",-71.826347,42.243622,"118 Cambridge St","Ste 7","Worcester","MA","01603","2370","WORCESTER"
"Ocean State Job Lot 246",-73.106735,42.67849,"830 Curran Hwy","","North Adams","MA","01247","3960","BERKSHIRE"
"City Convenience Store",-71.136238,41.694828,"228 County St","","Fall River","MA","02723","2114","BRISTOL"
"El Coli Market",-71.076294,42.307411,"230 Columbia Rd","","Dorchester","MA","02121","3408","SUFFOLK"
"Feeding Hills Public Market",-72.650436,42.079605,"634 Springfield St","","Feeding Hills","MA","01030","2131","HAMPDEN"
"Tedeschi Food Shops 312",-71.227379,41.950577,"325 W Main St","","Norton","MA","02766","2103","BRISTOL"
"South Park Mini Mart",-71.162514,41.696106,"594 S Main St","","Fall River","MA","02721","5320","BRISTOL"
"Howes Station Market",-70.99247,42.596081,"229 Maple St","","Middleton","MA","01949","2232","ESSEX"
"West Tisbury Farmers Market",-70.783257,41.329433,"State Road","","West Tisbury","MA","02535","","DUKES"
"Naps Package Store",-71.269691,41.941845,"267 Park St","","Attleboro","MA","02703","3117","BRISTOL"
"Hess Express 21319",-71.03727,42.765083,"491 Groveland St","","Haverhill","MA","01830","6723","ESSEX"
"New Fast Mart",-71.1157,41.854599,"420 Somerset Ave","","North Dighton","MA","02764","1810","BRISTOL"
"Rosario's Market",-71.049362,42.41729,"415 Ferry St","","Everett","MA","02149","5664","MIDDLESEX"
"Tedeschi Food Shops 314",-70.267647,41.671295,"696 Yarmouth Rd","","Hyannis","MA","02601","","BARNSTABLE"
"Chop Chop Meat Market",-71.124138,42.255524,"1260 Hyde Park Ave","","Hyde Park","MA","02136","2702","SUFFOLK"
"Arthurs Pastry",-71.107841,42.405121,"380 Main St","","Medford","MA","02155","6251","MIDDLESEX"
"Dito's Corner Store",-70.943687,42.462734,"616 Washington St","","Lynn","MA","01901","1406","ESSEX"
"Dj's Variety Store",-71.092606,42.771255,"363 Washington St","","Haverhill","MA","01832","5333","ESSEX"
"Community Action, Inc.",-71.086166,42.775303,"145 Essex Street","","Haverhill","MA","01832","","ESSEX"
"CVS 1870",-70.558838,41.578472,"415 E Falmouth Hwy","","East Falmouth","MA","02536","6196","BARNSTABLE"
"Original Easton Farmers Market",-71.112656,42.030888,"524 Depot St","","South Easton","MA","02375","1545","BRISTOL"
"Richdale Store",-71.144997,42.657574,"10 Railroad St","","Andover","MA","01810","3554","ESSEX"
"Dollar General 14682",-71.504921,42.150024,"161 E Main St","","Milford","MA","01757","2705","WORCESTER"
"Dollar General 14748",-71.182976,42.72303,"201 Broadway","","Methuen","MA","01844","3036","ESSEX"
"7 Eleven 34390A",-71.359215,42.297554,"172 N Main St","","Natick","MA","01760","2021","MIDDLESEX"
"Oak Island Convenience",-70.986099,42.425385,"831 N Shore Rd","","Revere","MA","02151","1524","SUFFOLK"
"St's General Store",-71.622902,42.078957,"110 Mendon St","","Uxbridge","MA","01569","1541","WORCESTER"
"J And J Convenience",-71.021301,42.101051,"685 N Main St","","Brockton","MA","02301","2407","PLYMOUTH"
"Tedeschi Food Shops 231",-70.903824,42.124199,"474 Market St","","Rockland","MA","02370","1336","PLYMOUTH"
"Petroleum Group LLC",-71.124077,42.508499,"4 West St","","Reading","MA","01867","3765","MIDDLESEX"
