Store_Name,lng,lat,Address,Address Line #2,City,State,Zip5,Zip4,County
"TONY'S MARKET, INC.",-70.564011,41.449062,"DUKES COUNTY AVE","","OAK BLUFFS","MA","02557","","DUKES"
"JACKS VARIETY",-71.796066,42.24485,"140 Vernon St","","Worcester","MA","01610","2157","WORCESTER"
"CONVENIENCE STATION",-71.079689,42.779758,"105 White St","","Haverhill","MA","01830","5728","ESSEX"
"WALMART 2329",-72.284576,42.586807,"555 E Main St","","Orange","MA","01364","9515","FRANKLIN"
"WALMART 2267",-71.784637,42.353699,"137 W Boylston St","","West Boylston","MA","01583","1713","WORCESTER"
"WALMART 2174",-72.706352,42.108604,"141 Springfield Rd","","Westfield","MA","01085","1819","HAMPDEN"
"WALMART 2103",-71.216042,42.146526,"550 Providence Hwy","","Walpole","MA","02081","4231","NORFOLK"
"WALMART 2095",-70.662239,41.759094,"3005 Cranberry Hwy","","East Wareham","MA","02538","1354","PLYMOUTH"
"WALMART 1970",-71.562386,42.373035,"280 Washington St","","Hudson","MA","01749","2735","MIDDLESEX"
"GEMELAS MARKET",-71.153374,42.709881,"54 Union St","","Lawrence","MA","01840","1818","ESSEX"
"A ARENA & SONS INC",-71.497734,42.214516,"159 Ash St","","Hopkinton","MA","01748","1903","MIDDLESEX"
"AMERICAN GROCERY",-71.07972,42.785404,"426 Main St","","Haverhill","MA","01830","3315","ESSEX"
"ORTEGAS MARKET",-71.811295,42.264011,"260 Pleasant St","","Worcester","MA","01609","2022","WORCESTER"
"NEW CORNER VARIETY",-72.611031,42.182827,"1175 Grattan St","","Chicopee","MA","01013","2761","HAMPDEN"
"SPRING FOOD MART",-72.493835,42.158363,"345 Main St","","Indian Orchard","MA","01151","1214","HAMPDEN"
"A1 MART",-72.036064,42.070541,"179 Elm St","","Southbridge","MA","01550","2641","WORCESTER"
"COMPARE SUPERMARKET",-70.939568,42.475399,"2A Adams Street Ext","","Lynn","MA","01902","","ESSEX"
"Lincoln Avenue Market",-70.990112,42.455048,"84 Lincoln Ave","","Saugus","MA","01906","2833","ESSEX"
"BUNKER HILL GROCERY",-71.061829,42.378681,"190 Bunker Hill St","","Charlestown","MA","02129","2539","SUFFOLK"
"GRAMPYS CORNER STORE",-71.091766,41.898026,"165 High St","","Taunton","MA","02780","3535","BRISTOL"
"L & M CONVENIENCE STORE",-71.062912,42.423313,"230 Ferry St","","Malden","MA","02148","7125","MIDDLESEX"
"CAMILO MARKET",-71.10157,42.322842,"280 Centre St","","Jamaica Plain","MA","02130","1669","SUFFOLK"
"DALTON AVENUE VARIETY",-73.23027,42.457287,"71 Dalton Ave","","Pittsfield","MA","01201","3596","BERKSHIRE"
"CORNER STORE OF BHA",-71.087921,42.295441,"867 Blue Hill Ave","","Dorchester Center","MA","02124","1605","SUFFOLK"
"EDGEMARY USA MINIMART",-71.826347,42.243622,"118 Cambridge St","Ste 3","Worcester","MA","01603","2370","WORCESTER"
"FITCHBURG VARIETY",-71.781693,42.566029,"938 Water St","","Fitchburg","MA","01420","6363","WORCESTER"
"WALGREENS 03548",-71.100182,42.487152,"225 Main St","","Stoneham","MA","02180","1252","MIDDLESEX"
"WALGREENS 05756",-71.039032,42.374447,"1 Central Sq","","East Boston","MA","02128","1911","SUFFOLK"
"COUNTRY CONVENIENCE",-70.917336,42.011505,"210 Pond St","","East Bridgewater","MA","02333","2233","PLYMOUTH"
"GINAS GROCERY",-71.079361,42.328503,"251 Dudley St","","Roxbury","MA","02119","2504","SUFFOLK"
"walgreens 02325",-70.960342,42.486073,"290 Broadway","","Lynn","MA","01904","1806","ESSEX"
"LA MINITA DE KELSEY",-72.567291,42.115299,"154 Catharine St","","Springfield","MA","01109","3508","HAMPDEN"
"Walgreens 06295",-70.947372,42.546734,"229 Andover St","Ste 1","Peabody","MA","01960","1538","ESSEX"
"Walgreens 04595",-70.909241,42.518925,"59 Boston St","","Salem","MA","01970","2145","ESSEX"
"Walgreens 07617",-71.116783,42.772915,"800 River St","","Haverhill","MA","01832","3612","ESSEX"
"NORTH HAMPTON MARKET",-72.631386,42.315887,"48 Old South St","","Northampton","MA","01060","3835","HAMPSHIRE"
"Butchery",-70.95929,42.59642,"182 North St","","Danvers","MA","01923","1242","ESSEX"
"QUALITY MART",-72.515205,42.094303,"1352 Allen St","","Springfield","MA","01118","2526","HAMPDEN"
"ELMA FOOD MARKET",-71.047569,42.405575,"44B Ferry St","","Everett","MA","02149","4933","MIDDLESEX"
"7-ELEVEN 33486B",-71.093109,42.363819,"600 Technology Sq","","Cambridge","MA","02139","3591","MIDDLESEX"
"AMY'S CONVENIENCE STORE",-71.403847,42.32613,"68 Water St","","Framingham","MA","01701","3480","MIDDLESEX"
"STOP QUICK MARKET",-71.191162,42.70433,"12 Haverhill St","","Methuen","MA","01844","4220","ESSEX"
"MARLBORO CITGO",-71.542641,42.342216,"146 Maple St","","Marlborough","MA","01752","3234","MIDDLESEX"
"EZEE MART",-72.628639,42.0924,"83 River St","","West Springfield","MA","01089","3616","HAMPDEN"
"WHOLE FOODS MARKET 10222",-70.902718,42.481483,"331 Paradise Rd","","Swampscott","MA","01907","2928","ESSEX"
"SUPER STOP & SHOP 011",-71.00148,42.400757,"40 Furlong Dr","","Revere","MA","02151","4006","SUFFOLK"
"AGAWAM MOBIL 458",-72.615181,42.071716,"6 Lealand Ave","","Agawam","MA","01001","","HAMPDEN"
"SUPER JOHN'S MARKET",-72.598167,42.592777,"146 Federal St","","Greenfield","MA","01301","2511","FRANKLIN"
"HESS EXPRESS 21507",-71.177902,42.716885,"615 Broadway","","Lawrence","MA","01841","2404","ESSEX"
"Hess 21207",-71.153046,42.689182,"500 S Union St","","Lawrence","MA","01843","2812","ESSEX"
"Richdale Dairy",-71.070023,42.452187,"54 W Wyoming Ave","","Melrose","MA","02176","3745","MIDDLESEX"
"ROSI'S MARKET",-71.038971,42.368542,"232 Sumner St","","Boston","MA","02128","2338","SUFFOLK"
"EASY CONVENIENCE & DELI",-71.234573,42.375523,"26 Elm St","","Waltham","MA","02453","5360","MIDDLESEX"
"7-ELEVEN 33466B",-71.142754,42.34343,"1610 Commonwealth Ave","","Brighton","MA","02135","5001","SUFFOLK"
"PRIDE CONVENIENCE",-72.586472,42.096996,"1211 E Columbus Ave","","Springfield","MA","01105","2554","HAMPDEN"
"AA FOOD MARKET",-70.928146,41.646519,"1575 Purchase St","","New Bedford","MA","02740","6817","BRISTOL"
"EZ CONVENIENCE & GAS",-70.928772,41.649643,"1800 Purchase St","","New Bedford","MA","02740","6809","BRISTOL"
"LAXMI GROCERY",-71.498863,42.295784,"42 Turnpike Rd","","Southborough","MA","01772","2101","WORCESTER"
"INDIAN OCEAN GROCERY & HALAL MEAT",-71.085678,42.329514,"43 Roxbury St","","Roxbury","MA","02119","1720","SUFFOLK"
"PETROMAX",-72.046715,42.081779,"904 Main St","","Southbridge","MA","01550","1143","WORCESTER"
"EZ FOOD SHOP",-70.94648,42.475773,"451 Chestnut St","","Lynn","MA","01902","2721","ESSEX"
"San Miguel Market",-71.036392,42.367313,"317 Sumner St","","Boston","MA","02128","2123","SUFFOLK"
"WHEELER CONVENIENCE STORE",-72.55928,42.113129,"954 State St","","Springfield","MA","01109","3145","HAMPDEN"
"WALGREEN 07703",-72.51313,42.064819,"54 Center Sq","","E Longmeadow","MA","01028","2446","HAMPDEN"
"COSTA'S SUNOCO MINI MART",-70.932663,41.657017,"397 Sawyer St","","New Bedford","MA","02746","1662","BRISTOL"
"La Hispano Americana Market",-71.048531,42.414665,"709 Broadway","","Everett","MA","02149","2911","MIDDLESEX"
"FALMOUTH FOOD  MART",-70.634834,41.588764,"336 E Falmouth Hwy","","East Falmouth","MA","02536","6004","BARNSTABLE"
"NEW INK WELL",-72.599243,42.589901,"78 Federal St","","Greenfield","MA","01301","2523","FRANKLIN"
"MANNY'S MARKET",-72.617897,42.202503,"157 Sargeant St","","Holyoke","MA","01040","3819","HAMPDEN"
"J&G MARKET",-71.117706,42.292019,"274 Hyde Park Ave","","Jamaica Plain","MA","02130","4224","SUFFOLK"
"WALGREEN 06226",-70.88002,41.641033,"220 Huttleston Ave","","Fairhaven","MA","02719","1958","BRISTOL"
"Polish Deli Inc",-72.743958,42.120121,"7 White St","","Westfield","MA","01085","3114","HAMPDEN"
"ADAM'S MARKET",-70.991806,42.397953,"1 Atlantic Ave","","Revere","MA","02151","5401","SUFFOLK"
"SUPER LIQUOR & MARKET",-71.783852,42.568829,"783 Water St","","Fitchburg","MA","01420","6479","WORCESTER"
"ONE STOP CONVENIENCE STORE",-72.5653,42.096874,"494 Central St","Ste 4","Springfield","MA","01105","2192","HAMPDEN"
"Tedeschi Food Shops 385",-70.981567,42.24778,"495 Washington St","","Quincy","MA","02169","5834","NORFOLK"
"CITY FEED AND SUPPLY",-71.106003,42.317036,"66A Boylston St","","Jamaica Plain","MA","02130","2203","SUFFOLK"
"WALGREENS 07329",-70.916573,42.120865,"75 Market St","","Rockland","MA","02370","2603","PLYMOUTH"
"Chicopee Farmers Market",-72.609329,42.14439,"Chicopee Street at the YMCA","Under Route 391 Overpass","Chicopee","MA","01013","1611","HAMPDEN"
"The Food Project - North Shore",-70.94371,42.463783,"Union St & Exchange St","Central Square","Lynn","MA","01902","","ESSEX"
"WALMART SUPERCENTER 2336",-70.717079,41.95414,"300 Colony Place Rd","","Plymouth","MA","02360","7235","PLYMOUTH"
"ARCHIES MINI MART",-72.597145,42.203941,"81 N Bridge St","","Holyoke","MA","01040","6405","HAMPDEN"
"GOMEZ CONVENIENCE",-71.174011,42.69772,"252 Water St","","Lawrence","MA","01841","5131","ESSEX"
"CONSTANZA MEAT MARKET",-71.168167,42.719025,"271 Lawrence St","","Lawrence","MA","01841","1154","ESSEX"
"LAS PALMAS MARKET",-71.038162,42.370396,"13 CHELSEA ST","","EAST BOSTON","MA","02128","","SUFFOLK"
"REYDI MARKET",-72.5653,42.096874,"494 CENTRAL ST","1 Stop Plaza","SPRINGFIELD","MA","01105","","HAMPDEN"
"Trader Joe's 516",-70.954323,42.549778,"300 Andover St","Ste 15","Peabody","MA","01960","1505","ESSEX"
"National Wholesale Liquidators",-71.048904,42.296665,"725 William T Morrissey Blvd","","Dorchester","MA","02122","3405","SUFFOLK"
"ROCHE BROS SUPERMARKETS INC 118",-70.740936,42.105743,"605 Plain St","","Marshfield","MA","02050","2715","PLYMOUTH"
"7-Eleven 15767C",-70.916496,42.121178,"92 Market St","","Rockland","MA","02370","2604","PLYMOUTH"
"TESORO MARKET",-71.033592,42.374443,"188 Chelsea St","","Boston","MA","02128","1763","SUFFOLK"
"STOP N SAVE",-71.136536,41.721363,"1625 Robeson St","","Fall River","MA","02720","4047","BRISTOL"
"MORTON MINI MART",-71.089302,42.283581,"761 Morton St","","Mattapan","MA","02126","1863","SUFFOLK"
"CENTER MARKET",-71.767143,42.303719,"25 Tacoma St","","Worcester","MA","01605","3516","WORCESTER"
"7-ELEVEN 32439B",-70.946777,41.706894,"1389 Phillips Rd","","New Bedford","MA","02745","1941","BRISTOL"
"MAIN ST VARIETY",-71.019928,42.082561,"140 Main St","","Brockton","MA","02301","4013","PLYMOUTH"
"FOODLAND",-71.126404,42.393917,"2234 Massachusetts Ave","","Cambridge","MA","02140","1837","MIDDLESEX"
"USA Fruit Market",-71.279961,41.943787,"101 Park St","","Attleboro","MA","02703","2336","BRISTOL"
"WILLOW TREE MARKET",-70.284317,41.656841,"15 Charles St","","Hyannis","MA","02601","5596","BARNSTABLE"
"ALNOUR MARKET",-70.932899,42.472599,"161 Essex St","","Lynn","MA","01902","1739","ESSEX"
"PRICERITE OF SOUTH NEW BEDFORD",-70.919197,41.625168,"39 South St","","New Bedford","MA","02740","7222","BRISTOL"
"ROSA SUPERMARKET",-71.066643,42.300636,"430 Geneva Ave","","Dorchester","MA","02122","1407","SUFFOLK"
"Cloverdale Farms Inc",-71.176636,41.682178,"1892 S Main St","","Fall River","MA","02724","2184","BRISTOL"
"7 ELEVEN 32472C",-71.160294,41.699329,"340 Milliken Blvd","","Fall River","MA","02721","1602","BRISTOL"
"L. LAWRENCE STORE",-71.153442,42.698719,"107 S Union St","","Lawrence","MA","01843","1643","ESSEX"
"SHAW'S SUPERMARKET 07653",-70.72789,41.758747,"127 Marion Rd","","Wareham","MA","02571","1423","PLYMOUTH"
"SHAW'S SUPERMARKET 07627",-71.521851,42.579647,"760A Boston Rd","","Groton","MA","01450","2058","MIDDLESEX"
"CITGO MART",-71.849136,42.230038,"61 S Ludlow St","","Worcester","MA","01603","1021","WORCESTER"
"7-ELEVEN 32432D",-70.946358,41.624344,"489 Rockdale Ave","","New Bedford","MA","02740","1363","BRISTOL"
"COMMON CROW NATURAL HEALTH, INC.",-70.660995,42.613449,"6 Elm St","","Gloucester","MA","01930","3752","ESSEX"
"E-ZEE MART",-72.647156,42.107216,"662 Kings Hwy","","West Springfield","MA","01089","2352","HAMPDEN"
"Angels Market Inc",-71.084801,42.301525,"8A Glenway St","","Dorchester","MA","02121","4008","SUFFOLK"
"Express Gas Food Mart",-72.554092,42.114723,"1107 State St","","Springfield","MA","01109","2736","HAMPDEN"
"Whole Foods Market 10158",-71.065445,42.361298,"181 Cambridge St","","Boston","MA","02114","2786","SUFFOLK"
"Cram Seafood Co Inc",-71.067772,42.325912,"145 Shirley St","","Roxbury","MA","02119","3007","SUFFOLK"
"RITE AID 10052",-72.614487,42.171486,"577 Meadow St","","Chicopee","MA","01013","1876","HAMPDEN"
"DJs Market",-71.058998,42.325405,"120 Boston St","","Dorchester","MA","02125","1139","SUFFOLK"
"DOLLAR X",-72.559982,42.085732,"447 Sumner Ave","","Springfield","MA","01108","2320","HAMPDEN"
"7-ELEVEN 32448C",-70.81002,42.069538,"125 Center St","","Pembroke","MA","02359","2646","PLYMOUTH"
"CASA VICTORIA",-70.923096,41.618916,"104 County St","","New Bedford","MA","02744","1828","BRISTOL"
"CASTLEWAY MARKET",-71.802345,42.598167,"432 Mechanic St","","Fitchburg","MA","01420","2011","WORCESTER"
"ONE STOP CONVENIENCE STORE",-72.019241,42.098846,"769 Worcester St","","Southbridge","MA","01550","1383","WORCESTER"
"G & R Fish Market",-72.068771,42.093658,"135 Main St","Ste 1","Sturbridge","MA","01566","1569","WORCESTER"
"Fuller Market",-71.071251,42.281895,"851 Washington St","","Dorchester Center","MA","02124","4635","SUFFOLK"
"CHAPIN EAST VARIETY",-72.455658,42.166744,"830 East St","","Ludlow","MA","01056","3040","HAMPDEN"
"TARGET 1190",-71.348679,41.94231,"1205 S Washington St","","North Attleboro","MA","02760","6251","BRISTOL"
"Target 1930",-71.311127,42.03083,"91 Taunton St","","Plainville","MA","02762","1207","NORFOLK"
"Target 1189",-71.067902,41.877987,"81 Taunton Depot Dr","","Taunton","MA","02780","6915","BRISTOL"
"TARGET 1266",-71.136314,42.51569,"101 Commerce Way","","Woburn","MA","01801","1007","MIDDLESEX"
"PRICERITE OF FALL RIVER",-71.140884,41.696007,"866 Pleasant St","","Fall River","MA","02723","1018","BRISTOL"
"WEIR FRUIT",-71.089317,41.887791,"515 Weir St","","Taunton","MA","02780","","BRISTOL"
"7-ELEVEN 33454B",-71.165619,42.707535,"99 Hampshire St","","Lawrence","MA","01840","1205","ESSEX"
"Post Road Pantry",-71.529671,42.351585,"21 Boston Post Rd E","","Marlborough","MA","01752","3501","MIDDLESEX"
"7-ELEVEN 33592A",-71.037949,42.335537,"673 E Broadway","","South Boston","MA","02127","1563","SUFFOLK"
"CONVENIENCE MART",-72.636299,42.11515,"7 Chester St","","West Springfield","MA","01089","1720","HAMPDEN"
"TIENDA CENTRO AMERICANA Y ANTOJITOS",-70.928322,41.662628,"1527 Acushnet Ave","","New Bedford","MA","02746","2223","BRISTOL"
"Stop & Shop Supermarket 429",-71.065956,42.32579,"1100 Massachusetts Ave","","Dorchester","MA","02125","1606","SUFFOLK"
"7-ELEVEN 32473D",-71.108086,42.398491,"582 Broadway","","Somerville","MA","02145","2563","MIDDLESEX"
"7-ELEVEN 20430E",-71.105408,42.366344,"750 Massachusetts Ave","","Cambridge","MA","02139","3308","MIDDLESEX"
"STOP & SHOP 416",-71.169991,42.257648,"160 Providence Hwy","Rte 1","Dedham","MA","02026","1809","NORFOLK"
"STOP & SHOP SUPERMARKET 443",-71.357338,41.922825,"251 Washington St","","Attleboro","MA","02703","5517","BRISTOL"
"VILLAGE DAIRY",-71.708443,42.177128,"167 Main St","","South Grafton","MA","01560","1020","WORCESTER"
"Rite Aid 10192",-70.424889,41.647957,"3848 Falmouth Rd","","Marstons Mills","MA","02648","5707","BARNSTABLE"
"Rite Aid 10196",-70.898247,41.644501,"85 Huttleston Ave","","Fairhaven","MA","02719","3156","BRISTOL"
"Rite Aid 10210",-70.941093,41.603474,"676 Dartmouth St","","S Dartmouth","MA","02748","3092","BRISTOL"
"Rite Aid 10200",-71.161415,41.672863,"323 William S Canning Blvd","","Fall River","MA","02721","2339","BRISTOL"
"C & T MARKET",-71.063446,42.423447,"203 Ferry St","","Malden","MA","02148","5644","MIDDLESEX"
"CVS PHARMACY INC. 1026",-72.591637,42.103073,"1500 Main St","","Springfield","MA","01103","","HAMPDEN"
"HARDWICK MARKET & PACKAGE STORE",-72.21051,42.308651,"232 Main St","","Gilbertville","MA","01031","9604","WORCESTER"
"CARLOS GROCERY",-71.167274,42.714973,"51 MYRTLE ST","","LAWRENCE","MA","01841","","ESSEX"
"AMR'S NEIGHBORHOOD GROCERY",-71.127693,42.403515,"1165 Broadway","","Somerville","MA","02144","1742","MIDDLESEX"
"HANNAFORD FOOD & DRUG 383",-71.120018,41.885979,"255 Warner Blvd","","Taunton","MA","02780","4344","BRISTOL"
"HANNAFORD FOOD & DRUG 382",-71.143265,42.024864,"25 Robert Dr","","South Easton","MA","02375","1356","BRISTOL"
"CVS PHARMACY, INC 314",-70.856453,42.49847,"45 Atlantic Ave","","Marblehead","MA","01945","3103","ESSEX"
"Jimmy's Variety Store",-71.797249,42.242645,"1 Upsala St","","Worcester","MA","01610","2027","WORCESTER"
"7-ELEVEN 33550A",-71.09919,42.371979,"275 Prospect St","","Cambridge","MA","02139","1217","MIDDLESEX"
"7 ELEVEN 33467A",-71.076889,42.336655,"1747 Washington St","","Boston","MA","02118","1805","SUFFOLK"
"7 Eleven 33409B",-71.173759,42.711571,"370 Broadway","","Lawrence","MA","01841","3529","ESSEX"
"El Rincon Dominicana 1",-71.173996,42.702248,"773 Essex St","","Lawrence","MA","01841","4606","ESSEX"
"CHESTER VILLAGE MARKET",-72.98317,42.279404,"191 Route 20","","Chester","MA","01011","9601","HAMPDEN"
"7-ELEVEN 16019A",-71.07663,42.500553,"193 Albion St","","Wakefield","MA","01880","3173","MIDDLESEX"
"GARCIAS GROCERY & TROPICAL",-71.016975,42.067959,"886 Main St","","Brockton","MA","02301","6027","PLYMOUTH"
"TARGET STORE 1965",-71.71225,42.527981,"86 Orchard Hill Park Dr","","Leominster","MA","01453","7020","WORCESTER"
"LYNN MEATLAND INC",-70.934181,42.479774,"437 Eastern Ave","","Lynn","MA","01902","1631","ESSEX"
"SUMMIT VARIETY",-70.951942,42.518143,"145A Summit St","","Peabody","MA","01960","5101","ESSEX"
"Sobrino Market",-71.06707,42.300846,"416 Geneva Ave","","Dorchester","MA","02122","1421","SUFFOLK"
"SHELL MART",-70.960167,41.906967,"63 Bedford St","","Middleboro","MA","02346","1077","PLYMOUTH"
"PRICERITE OF SWANSEA",-71.214111,41.750916,"58 Swansea Mall Dr","","Swansea","MA","02777","4115","BRISTOL"
"PRICERITE OF PITTSFIELD",-73.214439,42.463383,"457 Dalton Ave","","Pittsfield","MA","01201","2978","BERKSHIRE"
"COUNTRY CORNER STORE",-72.550026,42.6712,"44 Church St","","Bernardston","MA","01337","8500","FRANKLIN"
"UNION FRUIT MARKET #2",-70.927696,41.661114,"1437 Acushnet Ave","","New Bedford","MA","02746","2230","BRISTOL"
"MINA HALAL MEAT & GROCERIES",-71.003731,42.241852,"139 Water St","","Quincy","MA","02169","6535","NORFOLK"
"WALGREENS 03300",-71.509636,42.347572,"525 Boston Post Rd E","","Marlborough","MA","01752","3631","MIDDLESEX"
"WALGREENS 07704",-72.597183,42.597481,"5 Pierce St","","Greenfield","MA","01301","1928","FRANKLIN"
"WALGREENS 09233",-71.744453,42.275257,"225 Boston Tpke","","Shrewsbury","MA","01545","5223","WORCESTER"
"Sunny Corner Variety Store",-71.101166,42.419899,"218 Salem St","","Medford","MA","02155","3316","MIDDLESEX"
"ESSEX STREET MARKET",-71.033997,42.387936,"90 Essex St","","Chelsea","MA","02150","3447","SUFFOLK"
"CAMBIO LATINO",-71.007133,42.386795,"984 SARATOGA ST","","EAST BOSTON","MA","02128","","SUFFOLK"
"7-ELEVEN 24450F",-70.602928,41.553413,"743 Main St","","Falmouth","MA","02540","3215","BARNSTABLE"
"PALACE SPA",-71.155586,42.349167,"415 Washington St","","Brighton","MA","02135","2731","SUFFOLK"
"CUMBERLAND FARMS 6717",-72.489502,42.154175,"66 Parker St","","Indian Orchard","MA","01151","2223","HAMPDEN"
"STOP & SAVE",-72.308479,42.580902,"272 S Main St","","Orange","MA","01364","1744","FRANKLIN"
"QUINCY INTERNATIONAL FOODS",-70.980019,42.247375,"529 Washington St","","Quincy","MA","02169","5833","NORFOLK"
"BROWN & BUDNICK MEATS",-71.309822,42.683254,"1794 Bridge St","Ste 16","Dracut","MA","01826","2664","MIDDLESEX"
"T&P Convenience & Asian Food Market",-71.772552,42.570759,"5 Summer St","Unit 2","Lunenburg","MA","01462","2353","WORCESTER"
"TARGET 2127",-73.202339,42.487923,"655 Cheshire Rd","","Lanesboro","MA","01237","9706","BERKSHIRE"
"SAN FRANCISCO DE ASIS MARKET",-71.034256,42.368042,"255 Maverick St","","Boston","MA","02128","3126","SUFFOLK"
"HONEY FARMS 91",-71.79995,42.264507,"25 Foster St","","Worcester","MA","01608","1715","WORCESTER"
"WESTOVER SUPERMART",-72.568474,42.18224,"1782 Westover Rd","","Chicopee","MA","01020","2857","HAMPDEN"
"SAM'S MARKET",-70.889671,42.529785,"94 Bridge St","","Salem","MA","01970","4160","ESSEX"
"CUMBERLAND FARMS 6718",-72.58239,42.237381,"507 Newton St","","South Hadley","MA","01075","2017","HAMPSHIRE"
"CVS PHARMACY INC. 843",-72.610176,42.147755,"187 Exchange St","","Chicopee","MA","01013","1246","HAMPDEN"
"CVS PHARMACY INC 993",-72.60099,42.096397,"239B Memorial Ave","","West Springfield","MA","01089","4005","HAMPDEN"
"CVS PHARMACY INC 1291",-72.519203,42.136856,"770 Boston Rd","","Springfield","MA","01119","1311","HAMPDEN"
"SANDWICH MART & SPIRITS",-70.490501,41.756592,"152 Route 6A","","Sandwich","MA","02563","2046","BARNSTABLE"
"Tedeschi Food Shops 440",-71.123215,42.255947,"1239 River St","","Hyde Park","MA","02136","2820","SUFFOLK"
"UNION MART (T02)",-72.664185,42.264107,"123 Cottage St","","Easthampton","MA","01027","1671","HAMPSHIRE"
"LINCOLN DOLLAR STORE",-71.79184,42.283768,"243 Lincoln St","","Worcester","MA","01605","2139","WORCESTER"
"SOUTH MAIN MARKET",-71.161896,41.696487,"543 S Main St","","Fall River","MA","02721","5321","BRISTOL"
"TARGET 1898",-71.064346,42.325077,"7 Allstate Rd","","Dorchester","MA","02125","1663","SUFFOLK"
"D & F FOOD SERVICE",-72.564987,42.087498,"355 Belmont Ave","","Springfield","MA","01108","2000","HAMPDEN"
"WHOLE FOODS MARKET 10233",-71.165047,42.460442,"400 Cambridge Rd","","Woburn","MA","01801","6043","MIDDLESEX"
"CRONIN'S MARKET",-71.237381,42.371742,"12 Crescent St","","Waltham","MA","02453","4313","MIDDLESEX"
"WHEELERS MARKET",-72.578865,42.091301,"21 Locust St","","Springfield","MA","01108","1001","HAMPDEN"
"P & D Mini Market",-70.929291,41.658932,"114 Tallman St","","New Bedford","MA","02746","2038","BRISTOL"
"Stop and Go",-72.597725,42.215588,"4 Bardwell St","","South Hadley","MA","01075","2502","HAMPSHIRE"
"EVELYN'S MARKET",-71.102852,42.322868,"298 Centre St","","Jamaica Plain","MA","02130","1405","SUFFOLK"
"COUNTRY FARM",-71.76812,42.554535,"689 N Main St","","Leominster","MA","01453","1817","WORCESTER"
"COMPARE FOODS",-71.806068,42.259014,"664 Main St","","Worcester","MA","01610","3124","WORCESTER"
"AM/PM CONVENIENCE",-70.299416,41.662529,"489 BEARSES WAY","","HYANNIS","MA","02601","","BARNSTABLE"
"MCKINSTRY'S MARKET GARDEN",-72.591064,42.180401,"753 Montgomery St","","Chicopee","MA","01013","3856","HAMPDEN"
"EXPO'S",-70.928841,41.665073,"1643 Acushnet Ave","","New Bedford","MA","02746","2138","BRISTOL"
"D & M MART",-70.9403,42.463253,"126 Broad St","","Lynn","MA","01901","1627","ESSEX"
"Tedeschi Food Shops 88",-71.161789,42.693775,"208 S Broadway","","Lawrence","MA","01843","1420","ESSEX"
"HANNAFORD FOOD & DRUG 327",-71.278198,42.630032,"777 Rogers St","","Lowell","MA","01852","4336","MIDDLESEX"
"SHAW'S SUPERMARKET 07692",-70.200859,41.662346,"1108 Route 28","","South Yarmouth","MA","02664","4463","BARNSTABLE"
"SHAW'S SUPERMARKET 07648",-71.065231,42.502586,"134 Water St","","Wakefield","MA","01880","3015","MIDDLESEX"
"HIGHLAND VARIETY",-71.331947,42.632973,"146 Pine St","","Lowell","MA","01851","3113","MIDDLESEX"
"Rite Aid 10081",-71.572571,42.665722,"60 Groton St # 62","","Pepperell","MA","01463","1516","MIDDLESEX"
"UTOPIA CONVENIENCE STORE",-72.615234,42.069221,"713 Main St","","Agawam","MA","01001","2540","HAMPDEN"
"STOP & SHOP SUPERMARKET 462",-71.312691,42.032681,"109 Taunton St","","Plainville","MA","02762","1238","NORFOLK"
"SHIRLEY AVE VARIETY",-70.998215,42.40847,"65 Shirley Ave","","Revere","MA","02151","5101","SUFFOLK"
"BOSTON MART",-71.059059,42.359005,"42 Court St","","Boston","MA","02108","2203","SUFFOLK"
"PROVIDENCE STREET XTRA MART",-71.792252,42.237484,"280 Providence St","","Worcester","MA","01607","1130","WORCESTER"
"ARCOS",-71.515297,42.143364,"34 Main St","","Milford","MA","01757","2604","WORCESTER"
"RAJ MINI MARKET",-71.40313,42.279701,"80 Waverly St","","Framingham","MA","01702","7132","MIDDLESEX"
"GARDEN HALAL MEAT MARKET LLC",-71.056427,42.36166,"96A Blackstone St","","Boston","MA","02109","1506","SUFFOLK"
"KEYSTONE MARKET",-72.739006,42.603672,"42 Bridge St","","Shelburne Falls","MA","01370","1103","FRANKLIN"
"AMERICA'S FOOD BASKET",-71.120888,42.267616,"942 Hyde Park Ave","","Hyde Park","MA","02136","3269","SUFFOLK"
"PETERSONS MARKET",-70.200768,41.716148,"918 MAIN ST","","YARMOUTH PORT","MA","02675","","BARNSTABLE"
"T & N FOOD STORE",-71.322998,42.637466,"51 Branch St","","Lowell","MA","01851","1802","MIDDLESEX"
"J&R ENTERPRISES",-71.060249,42.429962,"200 Salem St","","Malden","MA","02148","4105","MIDDLESEX"
"WALGREENS  02309",-71.150154,42.472263,"175 Main St","","Woburn","MA","01801","5628","MIDDLESEX"
"Tedeschi Food Shops 220",-71.032143,42.255802,"650 Adams St","","Quincy","MA","02169","1340","NORFOLK"
"Quick Pic Convenience Store",-72.569412,42.136013,"1343 Carew St","","Springfield","MA","01104","2029","HAMPDEN"
"QUINCY MARKET",-71.002266,42.251301,"33 Washington St","","Quincy","MA","02169","5301","NORFOLK"
"PRICERITE OF WORCESTER",-71.802963,42.291653,"117 Gold Star Blvd","","Worcester","MA","01606","2816","WORCESTER"
"Country Farms",-71.311966,42.658367,"56 Aiken Ave","","Lowell","MA","01850","1402","MIDDLESEX"
